選手名,チーム,登板,先発,救援,勝,敗,セーブ,ホールド,投球回(アウト),投球回,投球数,打者,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,防御率,WHIP,K%,BB%,K-BB%,K/9,BB/9,HR/9,平均Game Score,更新日
田中 将大,読売ジャイアンツ,6,6,0,1,3,0,0,85,28.1,488,130,35,1,13,0,24,19,16,5.08,1.69,18.5%,10.0%,8.5%,7.62,4.13,0.32,44.7,2026/08/08
大勢,読売ジャイアンツ,6,0,6,0,1,0,3,14,4.2,108,27,8,0,3,0,6,7,3,5.79,2.36,22.2%,11.1%,11.1%,11.57,5.79,0.00,,2026/08/08
西舘 勇陽,読売ジャイアンツ,6,6,0,2,2,0,0,94,31.1,549,129,23,4,12,2,30,8,8,2.30,1.12,23.3%,9.3%,14.0%,8.62,3.45,1.15,59.0,2026/08/08
山﨑 伊織,読売ジャイアンツ,3,3,0,1,0,0,0,54,18,327,77,18,1,7,1,10,7,7,3.50,1.39,13.0%,9.1%,3.9%,5.00,3.50,0.50,50.3,2026/08/08
戸郷 翔征,読売ジャイアンツ,6,6,0,3,0,0,0,106,35.1,567,144,21,0,11,6,37,5,5,1.27,0.91,25.7%,7.6%,18.1%,9.42,2.80,0.00,66.3,2026/08/08
竹丸 和幸,読売ジャイアンツ,6,6,0,3,2,0,0,99,33,575,143,34,5,10,1,40,18,15,4.09,1.33,28.0%,7.0%,21.0%,10.91,2.73,1.36,52.5,2026/08/08
代木 大和,読売ジャイアンツ,3,0,3,0,0,0,0,21,7,114,27,4,0,2,0,5,1,1,1.29,0.86,18.5%,7.4%,11.1%,6.43,2.57,0.00,,2026/08/08
ウィットリー,読売ジャイアンツ,6,6,0,2,1,0,0,110,36.2,572,141,18,0,16,4,46,7,5,1.23,0.93,32.6%,11.3%,21.3%,11.29,3.93,0.00,67.3,2026/08/08
ハワード,読売ジャイアンツ,4,4,0,1,2,0,0,70,23.1,381,96,21,1,8,0,28,6,5,1.93,1.24,29.2%,8.3%,20.8%,10.80,3.09,0.39,60.5,2026/08/08
田和 廉,読売ジャイアンツ,6,0,6,0,0,0,1,11,3.2,77,22,7,0,3,2,2,2,2,4.91,2.73,9.1%,13.6%,-4.5%,4.91,7.36,0.00,,2026/08/08
赤星 優志,読売ジャイアンツ,6,0,6,0,0,0,1,15,5,89,24,8,0,1,0,2,1,1,1.80,1.80,8.3%,4.2%,4.2%,3.60,1.80,0.00,,2026/08/08
山城 京平,読売ジャイアンツ,1,1,0,0,0,0,0,6,2,67,13,3,0,3,2,1,5,5,22.50,3.00,7.7%,23.1%,-15.4%,4.50,13.50,0.00,28.0,2026/08/08
中川 皓太,読売ジャイアンツ,6,0,6,0,0,0,3,12,4,54,12,0,0,0,0,4,0,0,0.00,0.00,33.3%,0.0%,33.3%,9.00,0.00,0.00,,2026/08/08
マタ,読売ジャイアンツ,4,4,0,0,1,0,0,58,19.1,354,85,13,0,13,3,20,6,6,2.79,1.34,23.5%,15.3%,8.2%,9.31,6.05,0.00,55.8,2026/08/08
則本 昂大,読売ジャイアンツ,6,6,0,2,3,0,0,99,33,616,150,45,6,11,2,23,25,25,6.82,1.70,15.3%,7.3%,8.0%,6.27,3.00,1.64,39.5,2026/08/08
田中 瑛斗,読売ジャイアンツ,6,0,6,0,0,1,3,16,5.1,68,22,5,0,2,0,4,2,1,1.69,1.31,18.2%,9.1%,9.1%,6.75,3.38,0.00,,2026/08/08
又木 鉄平,読売ジャイアンツ,5,2,3,1,1,0,0,45,15,286,72,23,0,7,2,9,8,8,4.80,2.00,12.5%,9.7%,2.8%,5.40,4.20,0.00,36.0,2026/08/08
森田 駿哉,読売ジャイアンツ,6,0,6,0,0,0,1,17,5.2,85,20,1,0,2,1,6,0,0,0.00,0.53,30.0%,10.0%,20.0%,9.53,3.18,0.00,,2026/08/08
