球団名,選手名,ポジション,左右,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,打点,死球,三振,四球,犠打,犠飛,更新日
読売ジャイアンツ,田中 将大,投手,左,0.000,9,6,0,0,0,0,0,0,0,1,0,2,0,2026/08/10
読売ジャイアンツ,田中 将大,投手,右,0.000,19,12,0,0,0,0,0,0,0,6,0,1,0,2026/08/10
読売ジャイアンツ,大勢,投手,左,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,大勢,投手,右,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,西舘 勇陽,投手,左,0.000,5,3,0,0,0,0,0,0,0,2,0,0,0,2026/08/10
読売ジャイアンツ,西舘 勇陽,投手,右,0.200,8,5,1,1,0,0,0,0,0,3,0,0,0,2026/08/10
読売ジャイアンツ,山﨑 伊織,投手,左,0.000,5,3,0,0,0,0,0,0,0,2,0,0,0,2026/08/10
読売ジャイアンツ,山﨑 伊織,投手,右,0.250,8,4,1,0,1,0,0,0,0,2,1,1,0,2026/08/10
読売ジャイアンツ,戸郷 翔征,投手,左,0.083,20,12,1,0,1,0,0,0,0,5,1,2,0,2026/08/10
読売ジャイアンツ,戸郷 翔征,投手,右,0.500,5,4,2,2,0,0,0,1,0,0,0,1,0,2026/08/10
読売ジャイアンツ,竹丸 和幸,投手,左,0.111,17,9,1,1,0,0,0,1,0,6,2,0,0,2026/08/10
読売ジャイアンツ,竹丸 和幸,投手,右,0.056,32,18,1,1,0,0,0,1,0,11,0,3,0,2026/08/10
読売ジャイアンツ,代木 大和,投手,左,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,代木 大和,投手,右,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,ウィットリー,投手,左,0.000,20,11,0,0,0,0,0,0,0,8,0,1,0,2026/08/10
読売ジャイアンツ,ウィットリー,投手,右,0.071,23,14,1,1,0,0,0,1,0,6,2,1,0,2026/08/10
読売ジャイアンツ,ハワード,投手,左,0.000,2,1,0,0,0,0,0,0,0,1,0,0,0,2026/08/10
読売ジャイアンツ,ハワード,投手,右,0.000,9,5,0,0,0,0,0,0,0,4,0,0,0,2026/08/10
読売ジャイアンツ,田和 廉,投手,左,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,田和 廉,投手,右,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,赤星 優志,投手,左,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,赤星 優志,投手,右,0.000,4,2,0,0,0,0,0,0,0,1,0,1,0,2026/08/10
読売ジャイアンツ,山城 京平,投手,左,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,山城 京平,投手,右,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,中川 皓太,投手,左,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,中川 皓太,投手,右,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
読売ジャイアンツ,マタ,投手,左,0.000,8,5,0,0,0,0,0,0,0,2,0,1,0,2026/08/10
読売ジャイアンツ,マタ,投手,右,0.000,3,2,0,0,0,0,0,0,0,1,0,0,0,2026/08/10
読売ジャイアンツ,則本 昂大,投手,左,0.167,10,6,1,1,0,0,0,0,0,4,0,0,0,2026/08/10
読売ジャイアンツ,則本 昂大,投手,右,0.000,9,5,0,0,0,0,0,0,0,3,0,1,0,2026/08/10
読売ジャイアンツ,田中 瑛斗,投手,左,,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/08/10
